PROVINCIA,BENEFICIARIO,RFC,FACTURA,CONTRATO,CONCEPTO,TIPO OP,FDO OP,FECHA,IMPORTE,ETIQUETA
113596,GONZALEZ GARZA ROSA LILA,GOGR630616KP2,3624-158003-11778,SPP-318-2018,ADQUISICION DE UNIFORMES PARA EL PERSONAL OPERATIVO DE POLICIA Y TRANSITO EN EL MARCO DEL PROGRAMA FORTASEG 2018 (CHAMARRA CORTE POLICIACO TACTICO),TR,262000010.0,2018-12-20,233956.92,CONTRATISTAS
114085,"BUFETE URBANISTICO, S.A. DE C.V.",BUR001114GL6,189-155002-2519,SOP-802-2017,"R33-2017 EST. 4 (TECHOS) OP-R33-01/17-IR CONST.59 TECHOS DE FIBRO CEMENTO, 58 EN EL SECTOR NORPONIENTE TOPO CHICO Y 1 EN ZAP; CONST. DE 2 CUARTOS  PARA BAÑO EN SECTOR NORPONIENTE TOPO CHICO Y 2 PISO FIRME EN SECTOR NORPONIENTE TOPO CHICO DE MTY.,N.L.., PIM 17155037 REF 2018/SOP/033",TR,243000132.0,2018-12-30,221540.48,CONTRATISTAS
114085,"BUFETE URBANISTICO, S.A. DE C.V.",BUR001114GL6,191-155002-2532,SOP-807-2017,"R23-2017  (PROREG) EST. 7 OP-R23(PROREG)-06/17-CP REHAB.PARQUES PUB. ZONA SUR DEL MUNICIPIO DE MONTERREY EN LAS COLONIAS:  NARVARTE, LOMAS MEDEROS; BALCONES DE ALTAVISTA; Y LAS TORRES, PIM 17155040, REF 2018/SOP/018",TR,249000105.0,2018-12-30,37757.09,CONTRATISTAS
114196,"CLIMEEZ DEL NORTE,S.A.DE C.V.",CNO8005284F6,FF384-158003-11871,DIF-039-2018,SUMINISTRO E INSTALACION DE MOBILIARIO Y EQUIPAMIENTO (MINISPLIT) PARA EL CENTRO SOCIAL DE SALUD ANTONIO I. VILLARREAL D. I. F.,TR,260000019.0,2018-12-28,436667.18,CONTRATISTAS
114214,"TOOLS & SERVICES DE MEXICO, S.A. DE C.V.",T&S000219-JE7,P9696-158003-12267,SPP-317-2018,"ADQUISICION DE UNIFORMES PARA EL PERSONAL OPERATIVO DE LA SRIA. DE SEGURIDAD PUBLICA Y TRANSITO EN EL MARCO DEL PROGRAMA FORTASEG 2018, NOVIEMBRE 2018",TR,262000013.0,2018-12-20,5401746.48,CONTRATISTAS
114542,"INTER @ ENTER COMPUTADORAS, S.A. DE C.V.",IAE060118A50,AA04573-158003-12401,SPP-309-2018,ADQUISICION DE PAPELERIA Y ARTICULOS DE OFICINA PARA LA REALIZACION DE LAS EVALUACIONES DE DESEMPEÑO A ELEMENTOS OPERATIVOS DE LA SECRETARIA DE SEGURIDAD PUBLICA Y VIALIDAD DE MONTERREY,TR,262000011.0,2018-12-20,20150.92,CONTRATISTAS
114913,"FORTE COMUNICACIONES,S.A.DE C.V.",FCO970603C36,F4057-158003-9837,ORDEN DE COMPRA 1609,SUMINISTRO E INSTALACION DE EQUIPAMIENTO DE SIRENAS Y LUCES PARA UNIDADES BLINDADAS DE LA SECRETARIA DE SEGURIDAD PUBLICA Y VIALIDAD DE MONTERREY.,TR,261000039.0,2018-12-28,48163.2,CONTRATISTAS
115066,RANGEL BANDA JANNET EUGENIA,RABJ790521D26,2980-158003-11723,SPP-305-2018,EVALUACION MEDICA EN EL MARCO DEL PROGRAMA FORTASEG 2018 (ELEMENTOS DE PERMANENCIA),TR,262000006.0,2018-12-03,39219.6,CONTRATISTAS
115066,RANGEL BANDA JANNET EUGENIA,RABJ790521D26,3053-158003-12428,SPP-305-2018,EVALUACION MEDICA EN EL MARCO DEL PROGRAMA FORTASEG 2018 (ELEMENTOS DE PERMANENCIA),TR,262000015.0,2018-12-28,150910.2,CONTRATISTAS
116429,"VALERE CONSULTORES, S.C",VCO1112138L9,A265-158003-11404,SPP-313-2018,"SERVICIOS PROFESIONALES DE ASESORIA Y CONSULTORIA ESPECIALIZADA PARA LA IMPARTICION DE UN CURSO DE CAPACITACION DENOMINADO ACTUALIZACION TALLER DE ANALISIS DE INFORMACION PARA EL DESARROLLO DE PRODUCTOS DE INTELIGENCIA""""",TR,262000007.0,2018-12-03,258830.7,CONTRATISTAS
116474,"M.S. COMERCIALIZADORA E IMPORTADORA, S.A. DE C.V.",MCE071219760,54904-158003-12015,SDH-518-2018,"SUMINISTRO E INSTALACION DE MOBILIARIO, EQUIPO MEDICO Y EQUIPAMIENTO PARA EL CENTRO MEDICO FOMERREY 45 (DIR. DE SALUD PUBLICA) NOVIEMBRE 2018",TR,260000020.0,2018-12-31,529585.66,CONTRATISTAS
116650,"HEGV INDUSTRIAL, S.A. DE C.V.",HIN060928EC8,264-158003-11943,SPP-305-2018,"ADQUISICION DE UNIFORMES PARA EL PERSONAL OPERATIVO DE LA SRIA. DE SEGURIDAD PUBLICA Y TRANSITO EN EL MARCO DEL PROGRAMA FORTASEG 2018, NOVIEMBRE 2018",TR,262000009.0,2018-12-20,3410184.24,CONTRATISTAS
123045,"DISEÑO INFRAESTRUCTURA Y SERVICIOS, SA. DE CV.",DIS9208038E8,460-155002-2750,SOP-854-2018,"RE-2018 (FDOS-DESC) EST. 1-A OP-RP-04/18-CP AMPLIACION DE CUARTO CARRIL EN LA CARRETERA NACIONAL DE NORTE A SUR DE LA COL. SATELITE A LA COL. ESTANZUELA, EN EL MUNICIPIO DE MONTERREY, N.L. PIM 18155006  BIS 2",TR,278000008.0,2018-12-31,28072.79,CONTRATISTAS
